,codigo ,H/W/S,localizacion,resolucion,nombre,p_instalada (MW),FP (MWh/m3/s)
14,1112012,1,1,12,Concepcion ,40,0.636
16,1112014,1,2,12,Grande Tasajera,306,7.7612
17,1112015,1,1,12,Guadalupe,40,0.636
23,1112023,1,1,12,Tenche,40,0.636
29,1112029,1,1,12,Urra ,338,0.4434
30,1112030,1,2,12,Porce II,405,2.23
43,1112046,1,2,12,porce III,700,3.0742
45,1112048,1,2,12,pescadero,1200,1.7019
46,1112052,1,1,12,canasgordas,270,4.3519
49,1112059,1,1,12,dolores,40,0.636
50,1112060,1,2,12,quebradona,19,2.4285
1,1212001,1,2,12,sogamoso,819,1.3047
27,1212027,1,3,12,Estrella,30,1.2534
47,1212057,1,2,12,nechi,40,0.636
48,1212058,1,2,12,pajarito ,40,0.636
2,1312002,1,3,12,San Lorenzo,170,2.4761
3,1312003,1,3,12,San Carlos,1240,5.4605
4,1312004,1,3,12,calderas,19.9,3.6716
5,1312005,1,3,12,Miel I,396,2.0019
6,1312006,1,3,12,amoya,80,4.8609
12,1312010,1,3,12,Calima,132,1.8735
15,1312013,1,3,12,Digua,74,0.5321
18,1312016,1,3,12,Guatape,207,1.561
20,1312018,1,3,12,Nare,560,7.6858
28,1312028,1,3,12,San Francisco ,135,1.4946
41,1312042,1,3,12,guarino,396,2.0019
42,1312043,1,3,12,manso,396,2.0019
10,1412008,1,4,12,Bata,1000,7.011
13,1412011,1,4,12,Chuza,35,3.8095
19,1412017,1,4,12,Guavio,1200,9.7418
21,1412019,1,4,12,Prado,46,0.4899
24,1412024,1,4,12,Chinchina,19,0.85
25,1412025,1,4,12,Campo Alegre,19,0.85
26,1412026,1,4,12,San Eugenio,30,1.2534
31,1412032,1,4,12,Rucio,1000,7.011
32,1412033,1,4,12,Negro,1000,7.011
33,1412034,1,4,12,Tunjita,20,1.707
34,1412035,1,4,12,Alicachin,35,3.8095
35,1412036,1,4,12,Tomine,35,3.8095
36,1412037,1,4,12,Sisga,35,3.8095
37,1412038,1,4,12,Neusa,35,3.8095
38,1412039,1,4,12,Baraya,35,3.8095
39,1412040,1,4,12,Checua,35,3.8095
40,1412041,1,4,12,Teusaca,35,3.8095
9,1612007,1,6,12,Alto Achincaya,355,3.904
11,1612009,1,6,12,Betania,540,0.6237
22,1612020,1,6,12,Salvajina,285,0.9877
44,1612047,1,6,12,el quimbo,396,1.0524
7,2312001,2,3,12,Pepetshi,376,
8,3212001,3,2,12,Sol Uribia,390,
